España											
Actualizado: miércoles, 01 febrero 2017 a las 14:00 hora oficial											
Fecha: martes, 31 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Vilafranca del Penedès	Barcelona	14.3 (14:20)	3.7 (08:00)	9	18 (14:00)	11 (13:50)	0	0	0	0	0
Sitges	Barcelona	13.9 (14:00)	7.6 (05:30)	10,7	15 (18:30)	6 (12:30)	0	0	0	0	0
Barcelona Aeropuerto	Barcelona	15.5 (12:30)	8.1 (08:50)	11,8	28 (12:20)	22 (13:00)	0	0	0	0	0
Berga	Barcelona	15.7 (15:30)	1.9 (06:40)	8,8	32 (15:40)	21 (15:40)	0	0	0	0	0
Balsareny	Barcelona	17.0 (16:20)	-0.5 (07:30)	8,3	21 (15:00)	15 (20:00)	0	0	0	0	0
Prat de Lluçanès	Barcelona	15.1 (15:20)	0.6 (07:10)	7,9	28 (14:40)	16 (14:40)	0	0	0	0	0
Moià	Barcelona	14.7 (15:10)	5.0 (01:50)	9,8	27 (13:20)	18 (13:10)	0	0	0	0	0
Manresa	Barcelona	17.2 (15:00)	1.8 (08:50)	9,5	27 (18:20)	15 (18:00)	0	0	0	0	0
Monistrol de Montserrat	Barcelona	13.9 (12:10)	7.9 (05:40)	10,9							
Igualada	Barcelona	17.4 (14:40)	3.4 (08:00)	10,4	18 (17:20)	8 (16:30)					
Corbera, Pic d'Agulles	Barcelona							0	0		0
Barcelona	Barcelona	17.3 (13:00)	11.3 (07:10)	14,3	31 (15:10)	22 (15:20)	0	0	0	0	0
Barcelona, Museo Marítimo	Barcelona	15.7 (14:40)	9.5 (05:20)	12,6	27 (13:20)	14 (13:40)	0	0	0	0	0
Caldes de Montbui	Barcelona	16.8 (13:50)	3.8 (07:00)	10,3	22 (14:20)	16 (16:40)	0	0	0	0	0
Vilassar de Dalt	Barcelona	16.2 (12:10)	8.1 (05:10)	12,2	28 (13:00)	17 (11:20)	0	0	0	0	0
Arenys de Mar	Barcelona	15.1 (13:20)	6.2 (07:10)	10,7	36 (11:20)	17 (11:40)	0	0	0	0	0
Santa Susana	Barcelona	14.0 (12:50)	4.1 (07:50)	9	34 (11:50)	17 (11:00)	0	0	0	0	0
Fogars de Montclús	Barcelona	14.5 (13:20)	5.8 (03:30)	10,2			0	0	0	0	0
Tona	Barcelona	16.8 (14:20)	0.8 (08:00)	8,8	31 (13:30)	15 (12:40)					
Sant Julià  de Vilatorta	Barcelona	16.6 (15:10)	0.1 (07:40)	8,4	25 (14:10)	12 (14:30)	0	0	0	0	0
Lekeitio	Bizkaia	21.2 (16:10)	13.3 (08:20)	17,3	36 (14:50)	19 (12:20)	0	0	0	0	0
Forua	Bizkaia	20.4 (15:00)	11.4 (23:50)	15,9	37 (10:50)	25 (10:50)	0	0	0	0	0
Machichaco	Bizkaia				55 (03:00)	31 (02:50)	0	0	0	0	0
Punta Galea	Bizkaia	18.8 (14:50)	13.4 (21:00)	16,1	52 (05:50)	19 (05:50)	0	0	0	0	0
Orozko	Bizkaia	18.7 (14:20)	6.9 (22:30)	12,8	53 (06:20)	22 (06:50)	0	0	0	0	0
Abadiño	Bizkaia	14.3 (15:40)	5.6 (09:10)	10			0	0	0	0	0
Amorebieta--Etxano	Bizkaia	19.9 (15:50)	8.6 (23:50)	14,3	41 (08:20)	23 (11:30)	0	0	0	0	0
Balmaseda	Bizkaia	20.3 (14:20)	7.9 (22:50)	14,1			0	0	0	0	0
Güeñes	Bizkaia	16.9 (14:50)	10.7 (23:59)	13,8	44 (03:00)	17 (20:10)	0	0	0	0	0
Bilbao Aeropuerto	Bizkaia	19.6 (14:50)	11.4 (22:10)	15,5	46 (01:20)	24 (13:00)	0	0	0	0	0
Sopuerta	Bizkaia	19.6 (14:40)	13.4 (20:30)	16,5	44 (05:10)	21 (10:20)	0	0	0	0	0
Coruña del Conde	Burgos	14.7 (16:50)	2.5 (06:40)	8,6	27 (12:10)	18 (11:40)	0	0	0	0	0
Aranda de Duero	Burgos	15.6 (16:00)	0.4 (08:00)	8	34 (15:40)	16 (16:50)	0	0	0	0	0
Pedrosa del Príncipe	Burgos	13.7 (16:50)	0.2 (08:00)	6,9	21 (13:30)	13 (13:30)	0	0	0	0	0
Palacios de la Sierra	Burgos	13.4 (15:50)	1.4 (06:40)	7,4	24 (13:30)	13 (11:50)	0	0	0	0	0
Monterrubio de la Demanda	Burgos	12.2 (14:50)	0.0 (08:50)	6,1	37 (15:10)	22 (15:30)	0,2	0	0,2	0	0
Villamayor de los Montes	Burgos	13.4 (16:10)	3.1 (08:40)	8,2	28 (13:10)	18 (13:10)	0	0	0	0	0
Burgos Aeropuerto	Burgos	13.0 (14:10)	3.1 (21:50)	8			0	0	0	0	0
Santa Gadea de Alfoz	Burgos	12.5 (15:50)	4.4 (08:00)	8,5			0	0	0	0	0
Sargentes de la Lora	Burgos	11.3 (15:50)	2.0 (07:50)	6,7	36 (12:20)	26 (15:10)	0	0	0	0	0
Briviesca	Burgos	8.9 (16:50)	3.0 (23:40)	5,9	31 (17:20)	21 (17:20)	0	0	0	0	0
Medina de Pomar	Burgos	15.1 (14:40)	4.7 (09:00)	9,9	44 (11:30)	19 (17:00)	0	0	0	0	0
Miranda de Ebro	Burgos	14.0 (13:20)	2.0 (23:50)	8	21 (13:40)	12 (04:00)	0	0	0	0	0
Belorado	Burgos	8.5 (16:50)	1.0 (08:40)	4,8	14 (14:50)	9 (15:40)	0	0	0	0	0
Madrigal de la Vera	Cáceres	16.5 (16:30)	6.7 (08:10)	11,6	15 (13:10)	7 (12:40)	0	0	0	0	0
Navalmoral de la Mata	Cáceres	16.4 (16:20)	5.8 (08:30)	11,1	30 (13:40)	17 (14:00)	0	0	0	0	0
Garganta de la Olla	Cáceres	14.1 (15:40)	8.2 (08:10)	11,2	25 (14:40)	14 (13:30)	0	0	0	0	0
Serradilla	Cáceres	15.5 (16:40)	6.1 (08:40)	10,8	24 (15:20)	16 (14:10)	0	0	0	0	0
Jaraicejo	Cáceres	16.2 (16:30)	6.0 (07:10)	11,1	25 (08:40)	17 (07:30)	0	0	0	0	0
Trujillo	Cáceres	15.5 (15:50)	5.3 (07:10)	10,4	28 (14:30)	16 (21:50)	0	0	0	0	0
Cáceres	Cáceres	15.7 (15:50)	5.7 (09:10)	10,7	29 (03:10)	23 (03:20)	0	0	0	0	0
Cañaveral	Cáceres	15.8 (14:50)	7.0 (09:00)	11,4	29 (16:00)	19 (15:50)	0	0	0	0	0
Nuñomoral	Cáceres	15.5 (14:20)	8.0 (00:50)	11,8	37 (22:10)	18 (13:30)	0	0	0	0	0
Guijo de Granadilla	Cáceres	16.4 (15:00)	8.5 (00:50)	12,4	38 (16:00)	20 (14:30)	0	0	0	0	0
Hervás	Cáceres	15.2 (15:40)	7.2 (09:50)	11,2	60 (21:00)	31 (23:10)	0	0	0	0	0
Montehermoso	Cáceres	15.8 (16:40)	6.8 (08:40)	11,3	35 (13:30)	22 (13:30)	0,2	0	0	0,2	0
Tornavacas	Cáceres	13.6 (15:30)	5.2 (07:20)	9,4	52 (22:00)	22 (23:50)	0,2	0,2	0	0	0
Piornal	Cáceres	8.5 (15:40)	4.3 (01:30)	6,4	59 (06:10)	37 (05:10)	0,2	0,2	0	0	0
