España											
Actualizado: lunes, 01 febrero 2016 a las 10:00 hora oficial											
Fecha: domingo, 31 enero 2016											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Manresa	Barcelona	11.6 (16:30)	1.5 (06:40)	6,6	21 (17:50)	13 (17:50)	0	0	0	0	0
Monistrol de Montserrat	Barcelona	9.0 (22:20)	2.6 (07:20)	5,8			0	0	0	0	0
Corbera, Pic d'Agulles	Barcelona	11.2 (14:30)	5.0 (08:30)	8,1			0	0	0	0	0
Barcelona	Barcelona	17.4 (15:20)	9.1 (07:50)	13,3	31 (05:40)	19 (05:40)	0	0	0	0	0
Barcelona, Museo Marítimo	Barcelona	18.4 (14:30)	10.0 (08:10)	14,2	21 (11:10)	10 (11:30)	0	0	0	0	0
Caldes de Montbui	Barcelona	16.2 (14:40)	2.7 (04:30)	9,5	24 (17:10)	14 (08:30)	0	0	0	0	0
Sabadell Aeropuerto	Barcelona				29 (16:10)	19 (16:00)	0	0	0	0	0
Arenys de Mar	Barcelona	17.6 (13:20)	6.8 (02:10)	12,2	18 (02:50)	11 (02:50)	0	0	0	0	0
Santa Susana	Barcelona	16.0 (13:40)	4.0 (03:00)	10	19 (14:40)	9 (14:30)	0	0	0	0	0
Fogars de Montclús	Barcelona	13.1 (16:50)	4.5 (03:40)	8,8			0	0	0	0	0
Tona	Barcelona	8.6 (14:30)	2.3 (23:59)	5,5	13 (14:10)	8 (14:00)	0	0	0	0	0
Sant Julià  de Vilatorta	Barcelona	7.8 (16:30)	1.1 (23:50)	4,5	11 (19:30)	7 (14:30)	0	0	0	0	0
Lekeitio	Bizkaia	16.3 (14:10)	10.9 (06:00)	13,6	71 (19:40)	42 (19:50)	0	0	0	0	0
Forua	Bizkaia	16.3 (15:40)	9.9 (05:20)	13,1	32 (20:10)	15 (04:30)	0,4	0,4	0	0	0
Machichaco	Bizkaia				52 (13:50)	37 (16:20)	0	0	0	0	0
