España											
Actualizado: sábado, 28 enero 2017 a las 14:00 hora oficial											
Fecha: viernes, 27 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Cabo Busto	Asturias	13.1 (14:30)	7.5 (08:50)	10,3	101 (16:40)	65 (16:40)	4,2	0	0,4	3	0,8
Degaña	Asturias	2.8 (14:40)	-1.0 (22:50)	0,9	27 (01:40)	15 (07:30)	5	1,6	1,4	1,8	0,2
Ibias, San Antolin	Asturias	6.8 (11:40)	2.5 (21:20)	4,7	46 (16:10)	30 (13:30)	3,2	0	0,2	2	1
Villayón, Oneta	Asturias	10.7 (14:20)	5.2 (23:59)	7,9	48 (17:00)	21 (16:40)	2,2	0	0	2	0,2
Castropol	Asturias	12.4 (13:40)	6.4 (06:30)	9,4	51 (15:40)	23 (15:40)	2,2	0	0	2	0,2
Taramundi, Ouria	Asturias	10.1 (14:20)	5.3 (21:20)	7,7	50 (10:50)	32 (06:20)	1,4	0	0	1	0,4
Puerto de Leitariegos	Asturias	1.3 (16:00)	-2.4 (20:20)	-0,6	56 (18:30)	35 (18:50)	0,4	0	0	0,4	0
Muñotello	Ávila	4.6 (10:40)	0.6 (06:10)	2,6	57 (01:00)	32 (01:00)	4	0,2	0,2	1,4	2,2
Ávila	Ávila	5.9 (16:00)	0.1 (04:50)	3	44 (05:30)	24 (23:59)	1	0,4	0,2	0	0,4
Gotarrendura	Ávila	6.5 (15:10)	1.9 (04:50)	4,2	57 (02:30)	39 (02:00)	1,2	0,4	0,2	0	0,6
Arevalo	Ávila	6.4 (16:50)	2.2 (08:40)	4,3	50 (01:00)	30 (01:00)	4,2	3	1	0,2	0
Rivilla de Barajas	Ávila	5.7 (14:50)	1.1 (08:40)	3,4	49 (11:10)	30 (21:40)	4	1,8	0,4	1,4	0,4
Navarredonda de Gredos	Ávila	4.0 (14:40)	-1.7 (23:50)	1,1	46 (23:59)	15 (01:50)	8,1	4,7	0,9	0,2	2,3
