España											
Actualizado: miércoles, 21 enero 2015 a las 09:00 hora oficial											
Fecha: martes, 20 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Peraleda del Zaucejo	Badajoz	5.0 (15:50)	-1.5 (04:50)	1,8	22 (16:10)	14 (16:10)	2,2	0	1	1,2	0
Castuera	Badajoz	5.7 (11:00)	0.9 (07:00)	3,3	19 (12:00)	13 (12:00)	2,8	0	1	1,8	0
Navalvillar de Pela	Badajoz	4.2 (18:40)	-0.4 (08:00)	1,9	10 (23:20)	6 (23:20)	1,8	0	0,6	1,2	0
Don Benito	Badajoz	5.3 (16:10)	1.5 (02:00)	3,4	16 (04:10)	10 (07:10)	0,6	0	0,4	0,2	0
Llerena	Badajoz	5.0 (14:50)	0.5 (06:20)	2,8	35 (12:00)	26 (12:40)	0,4	0	0	0,4	0
Villafranca de los Barros	Badajoz	6.7 (14:30)	0.3 (05:30)	3,5	34 (15:00)	21 (14:40)	0,4	0	0,4	0	0
Mérida	Badajoz	7.6 (17:10)	0.9 (23:59)	4,2	18 (03:00)	11 (03:10)	1,7	0	1,4	0,3	0
Zafra	Badajoz	7.1 (16:40)	-0.7 (00:50)	3,2	32 (16:30)	23 (16:30)	0,2	0	0,2	0	0
Almendralejo	Badajoz	6.4 (15:50)	1.5 (05:20)	4	27 (15:10)	18 (15:10)	0,6	0	0,4	0,2	0
Badajoz Aeropuerto	Badajoz	8.6 (15:20)	3.5 (04:10)	6,1	19 (12:20)	12 (22:20)	0,8	0	0,8	0	0
Alburquerque	Badajoz	9.1 (18:10)	1.6 (03:30)	5,4	32 (23:00)	17 (23:00)	2	0	2	0	0
Puebla de Obando	Badajoz							0	2,2		0
Badajoz	Badajoz	9.4 (14:20)	2.3 (01:00)	5,8	27 (13:40)	17 (13:50)	2	0	2	0	0
Olivenza	Badajoz	9.9 (16:10)	3.2 (00:50)	6,5	31 (10:50)	22 (10:50)	0,8	0	0,8	0	0
Alconchel	Badajoz	11.0 (15:10)	2.4 (03:20)	6,7	39 (15:00)	28 (15:00)	0,8	0	0,6	0,2	0
Barcarrota	Badajoz	8.5 (15:20)	-0.5 (04:20)	4	28 (16:40)	12 (15:20)	0,8	0	0,8	0	0
Villanueva del Fresno	Badajoz	10.6 (14:50)	1.8 (02:40)	6,2	31 (15:50)	20 (15:50)	0,4	0	0,4	0	0
Monesterio	Badajoz	4.4 (14:50)	0.0 (05:30)	2,2	35 (18:40)	18 (18:40)	1,4	0	1,4	0	0
Fuente de Cantos	Badajoz	5.3 (13:20)	-0.3 (04:50)	2,5	38 (17:10)	30 (18:20)	0,8	0	0,4	0,4	0
Jerez de los Caballeros	Badajoz	8.6 (16:30)	0.2 (07:20)	4,4	41 (17:10)	28 (23:30)	0,6	0	0,6	0	0
Fregenal de la Sierra	Badajoz	5.9 (16:20)	-1.4 (07:40)	2,3	32 (17:40)	18 (17:40)	1,4	0	1,2	0,2	0
