España											
Actualizado: domingo, 18 enero 2015 a las 09:00 hora oficial											
Fecha: sábado, 17 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
San José del Valle	Cádiz									0	0
Jerez de la Frontera Aeropuerto	Cádiz	12.6 (16:50)	1.9 (08:20)	7,3	17 (13:40)	11 (08:10)	0	0	0	0	0
San Fernando	Cádiz	11.9 (14:50)	6.2 (07:10)	9	16 (15:30)	10 (16:00)	0,1	0	0,1	0	0
Cádiz	Cádiz	12.5 (16:00)	7.2 (06:50)	9,8	28 (02:20)	21 (01:40)	0	0	0	0	0
Medina Sidonia	Cádiz	13.2 (15:10)	3.7 (07:30)	8,4						0	0
Vejer de la Frontera	Cádiz	12.4 (15:20)	5.8 (09:10)	9,1	26 (16:30)	15 (17:00)	1,1	1,1	0	0	0
Barbate	Cádiz	14.3 (13:40)	4.1 (08:50)	9,2	26 (14:50)	20 (14:50)	0,4	0,2	0,2	0	0
Tarifa	Cádiz	14.0 (23:59)	5.4 (08:20)	9,7	36 (17:00)	22 (15:00)	0	0	0	0	0
Jimena de la Frontera	Cádiz							0		0	0
San Roque	Cádiz										
Ramales de la Victoria	Cantabria	11.9 (15:10)	2.1 (05:10)	7				1,8	0		0
Barcena de Cicero, Treto	Cantabria							2,6			0
Soba, Alto Miera	Cantabria	5.8 (14:30)	1.0 (03:00)	3,4	39 (23:00)	16 (23:00)	12,8	4,8	6,4	1,4	0,2
Santander Aeropuerto	Cantabria	12.3 (15:30)	6.3 (03:50)	9,3	42 (01:50)	28 (23:40)					
Santander	Cantabria	11.0 (14:40)	6.4 (04:30)	8,7	55 (02:10)	38 (02:50)	3,8	3,4	0,4	0	0
Villacarriedo	Cantabria										
Los Tojos, Bárcena Mayor	Cantabria							0			0
San Felices de Buelna	Cantabria										
Torrelavega, Sierrapando	Cantabria								0	0	
San Vicente de la Barquera	Cantabria	11.7 (12:20)	4.0 (09:20)	7,8	52 (02:20)	32 (02:20)	0,3	0,3	0	0	0
Camaleño, Fuente De	Cantabria	4.3 (14:40)	-3.1 (00:50)	0,6				1,4			0
Cillórigo de Liébana, Tama	Cantabria							0			0
Tresviso	Cantabria							0,2	4		0
Santillana del Mar, Altamira	Cantabria	10.8 (14:20)	4.4 (08:40)	7,6	33 (02:50)	21 (12:40)	0	0	0	0	0
Reinosa	Cantabria	3.5 (15:20)	-9.5 (08:20)	-3	40 (23:10)	22 (23:10)	0	0	0	0	0
Valderredible, Cubillo de Ebro	Cantabria							0			0
Valderredible, Polientes	Cantabria	6.8 (14:30)	-5.2 (09:00)	0,8	30 (23:40)	17 (16:30)	0	0	0	0	0
Segorbe	Castelló/Castellón							0			0
Montanejos	Castelló/Castellón							0		0	0
Villafranca del Cid/Villafranca	Castelló/Castellón	5.8 (16:00)	-3.9 (23:50)	1	81 (00:20)	49 (00:20)	0	0	0	0	0
Atzeneta del Maestrat	Castelló/Castellón							0		0	0
Castellón de la Plana, Almazora	Castelló/Castellón	14.4 (13:40)	4.7 (08:40)	9,5	27 (00:50)	18 (00:50)	0	0	0	0	0
Torreblanca	Castelló/Castellón							0			0
La Pobla de Benifassà-Fredes	Castelló/Castellón	3.3 (15:10)	-1.9 (07:40)	0,7	89 (03:10)	54 (03:10)	0	0	0	0	0
Vinaròs	Castelló/Castellón	15.2 (15:40)	1.6 (23:30)	8,4	40 (12:00)	22 (14:00)	0	0	0	0	0
Castellfort	Castelló/Castellón	3.4 (15:30)	-1.4 (08:10)	1			0	0	0	0	0
Ceuta	Ceuta	13.6 (13:50)	8.5 (06:30)	11,1	33 (13:20)	14 (13:20)	0	0	0	0	0
Alcazar de San Juan	Ciudad Real							0			0
Tomelloso	Ciudad Real										
Ciudad Real	Ciudad Real	9.8 (15:10)	-0.9 (08:50)	4,5	19 (01:30)	10 (05:30)	0	0	0	0	0
Villanueva de los Infantes	Ciudad Real							0			0
Valdepeñas	Ciudad Real	8.7 (16:40)	0.1 (09:20)	4,4	23 (03:00)	12 (03:10)	0	0	0	0	0
Viso del Marqués	Ciudad Real	8.7 (15:20)	1.0 (09:50)	4,8	23 (03:10)	16 (03:20)		0	0	0	
Abenójar	Ciudad Real	7.6 (14:40)	-0.8 (09:30)	3,4	28 (01:40)	18 (01:40)		0		0	0
Puebla de Don Rodrigo	Ciudad Real	8.9 (15:50)	-1.7 (02:50)	3,6							
Almadén	Ciudad Real							0			
Puertollano	Ciudad Real	9.6 (16:40)	0.7 (09:10)	5,2	20 (02:10)	9 (02:10)	0	0	0	0	0
Fuencaliente	Ciudad Real	9.7 (16:30)	-2.4 (09:10)	3,6	19 (17:40)	10 (15:50)	0,6	0	0,4	0,2	0
Valsequillo	Córdoba							0			0
Hinojosa del Duque	Córdoba	8.9 (16:40)	-1.7 (07:20)	3,6	17 (17:30)	11 (01:10)	0,1	0	0,1	0	0
Cardeña	Córdoba	9.2 (13:40)	-1.4 (08:20)	3,9			0	0	0	0	0
Montoro	Córdoba	12.1 (15:00)	-0.4 (09:10)	5,9	15 (15:50)	9 (16:20)		0		0	0
Villanueva de Córdoba	Córdoba	8.8 (15:40)	0.1 (08:40)	4,5	23 (05:40)	11 (05:00)	0	0	0	0	0
Córdoba	Córdoba										0
Córdoba Aeropuerto	Córdoba	12.0 (16:10)	-0.3 (08:30)	5,8	18 (13:20)	8 (00:30)	0	0	0	0	0
Priego de Cordoba	Córdoba							0			0
Doña Mencía	Córdoba	7.8 (15:50)	0.8 (08:10)	4,3	18 (16:20)	10 (16:30)	0,1	0,1	0	0	0
Córdoba, Prágdena	Córdoba							0			0
Espiel	Córdoba	10.2 (16:10)	1.1 (21:30)	5,6	18 (01:20)	8 (01:20)		0		0	0
Fuente Palmera	Córdoba							0		0	0
Benamejí	Córdoba	8.0 (16:50)	2.4 (23:40)	5,2	13 (15:20)	7 (00:30)	0	0	0	0	0
Aguilar de la Frontera	Córdoba	9.6 (16:40)	0.2 (08:30)	4,9	15 (22:40)	13 (23:10)	0	0	0	0	0
La Rambla	Córdoba	10.9 (16:30)	-0.8 (07:50)	5						0	0
Tarancón	Cuenca	7.7 (16:30)	-2.7 (08:50)	2,5	23 (16:10)	12 (15:20)	0	0	0	0	0
Alcázar del Rey	Cuenca							0			0
Abia de Obispalia	Cuenca							0			0
Villares del Saz	Cuenca										0
Alberca de Zancara	Cuenca	5.8 (15:50)	-2.7 (08:50)	1,6	32 (02:50)	17 (01:30)					
San Clemente	Cuenca	7.7 (15:50)	-4.1 (09:10)	1,8			0,2	0	0,2	0	0
Osa de la Vega	Cuenca									0	0
Belmonte	Cuenca							0		0	0
Cuenca	Cuenca	7.0 (16:20)	-1.9 (08:50)	2,6	32 (13:40)	13 (13:40)	0	0	0	0	0
Motilla del Palancar	Cuenca	7.0 (15:30)	-3.5 (23:50)	1,8	37 (12:30)	23 (12:20)	0,4	0	0,2	0,2	0
Salvacañete	Cuenca							0		0	0
Mira	Cuenca							0			0
Irún	Gipuzkoa	9.5 (14:40)	4.9 (10:00)	7,2	51 (00:30)	24 (00:20)			6,8	0,2	0
San Sebastián Aeropuerto	Gipuzkoa	11.3 (14:40)	3.9 (22:50)	7,6	59 (00:40)	26 (00:40)			9,1	0,4	0
Renteria	Gipuzkoa	9.4 (16:40)	2.6 (22:40)	6	21 (05:00)	9 (02:40)			6,6	0	0
Beasain	Gipuzkoa							5,4			0
Ordizia	Gipuzkoa	10.2 (14:10)	2.2 (01:50)	6,2	31 (14:50)	16 (14:50)	3,4	3,2	0	0,2	0
Zarautz	Gipuzkoa							3,2			0
Legazpia	Gipuzkoa	8.1 (13:40)	1.3 (07:20)	4,7			2,4	2,2	0,2	0	0
Zumarraga	Gipuzkoa	7.8 (13:50)	0.5 (23:59)	4,2	41 (04:00)	18 (01:50)	2,2	2,2	0	0	0
Azpeitia	Gipuzkoa							3,8			0
Zumaia	Gipuzkoa	12.3 (16:00)	4.5 (20:40)	8,4	65 (01:50)	49 (00:10)	7,8	2	5,7	0,1	0
Aretxabaleta	Gipuzkoa	9.1 (14:30)	0.3 (23:40)	4,7			1,8	1,6	0	0,2	0
Elgeta	Gipuzkoa							1,8			0
Elgoibar	Gipuzkoa	10.0 (13:40)	2.5 (22:10)	6,3	25 (14:30)	14 (14:30)	5,1	4	1,1	0	0
Mutriku	Gipuzkoa										
Blanes	Girona	14.7 (15:00)	5.7 (08:30)	10,2	28 (06:50)	21 (07:00)	0	0	0	0	0
Castell, Platja d'Aro	Girona							0		0	0
Sant Pau de Segúries	Girona	6.4 (14:10)	-1.6 (21:50)	2,4	27 (14:50)	13 (15:10)	0	0	0	0	0
Planoles	Girona							0			0
Ripoll	Girona				24 (13:40)	14 (13:40)	0	0	0	0	0
Les Planes d'Hostoles	Girona	11.1 (15:00)	-2.8 (23:59)	4,2	24 (13:30)	16 (14:10)	0	0	0	0	0
Sant Hilari	Girona	8.0 (14:50)	-1.9 (07:30)	3,1	27 (12:40)	14 (01:10)	0	0	0	0	0
Girona Aeropuerto	Girona										
Girona	Girona									0,2	0
Porqueres	Girona	12.7 (13:40)	-0.2 (23:50)	6,2	21 (14:40)	12 (14:40)	0	0	0	0	0
L'Estartit	Girona	14.1 (14:40)	5.0 (08:30)	9,6	35 (09:40)	15 (10:40)			0	2,2	0
La Vall de Bianya	Girona							0		0	0
Castello d'Empuries	Girona							0			11,4
Espolla	Girona	13.7 (14:10)	5.0 (03:10)	9,3	43 (10:00)	24 (07:00)		0		0	0
Figueres	Girona							1,4		0	0
Cabo de Creus	Girona										
La Molina	Girona	-1.0 (15:40)	-6.7 (08:50)	-3,8	20 (07:20)	10 (04:50)	0	0	0	0	0
Baza	Granada	8.3 (15:30)	-3.1 (23:59)	2,6		28 (12:50)	0	0	0	0	0
Víznar	Granada							0	0	0	
Granada Aeropuerto	Granada	11.3 (16:10)	-1.3 (23:59)	5	24 (16:20)	16 (17:50)	0,2	0,2	0	0	0
Loja	Granada	7.8 (15:10)	0.0 (22:50)	3,9	24 (00:20)	8 (21:10)	0,2	0,2	0	0	0
Lanjarón	Granada							0			0
Salobreña	Granada							0			0
Motril	Granada	17.4 (14:40)	9.8 (05:30)	13,6	47 (00:30)	23 (00:30)					
Motril, Puerto	Granada									0	0
Castell del Ferro	Granada								0	0	0
