España											
Actualizado: domingo, 01 febrero 2015 a las 09:00 hora oficial											
Fecha: sábado, 31 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Pola de Somiedo	Asturias	8.7 (00:00)	0.6 (15:00)	4,6	51 (00:50)	18 (00:10)	39	18,6	9,8	6,4	4,2
Salas	Asturias	9.0 (00:20)	4.0 (17:40)	6,5	42 (01:00)	18 (01:00)	36,4	15	5	7,8	8,6
Cabo Busto	Asturias	11.4 (00:20)	5.9 (13:20)	8,6	120 (18:00)	80 (11:40)	15,4	1,6	7,8	2,6	3,4
Degaña	Asturias	1.7 (00:00)	-3.6 (22:20)	-0,9	67 (03:10)	25 (03:10)	2,4	2,4	0	0	0
Ibias, San Antolin	Asturias							7,6	2		
Villayón, Oneta	Asturias	9.6 (00:00)	2.3 (12:00)	6	93 (11:50)	52 (14:10)	26,8	16,8	2,2	6	1,8
Taramundi, Ouria	Asturias	9.9 (00:00)	3.1 (23:00)	6,5	49 (03:20)	25 (03:00)	17,4	6,2	5	3,6	2,6
Puerto de Leitariegos	Asturias	0.7 (00:30)	-5.0 (21:40)	-2,2			0	0	0	0	0
Ávila	Ávila	7.8 (00:00)	-1.6 (23:50)	3,1	85 (05:40)	46 (05:00)	11	10,4	0,4	0,2	0
Gotarrendura	Ávila	8.7 (00:00)	-0.8 (23:50)	3,9	87 (02:50)	59 (02:50)	0	0	0	0	0
Arevalo	Ávila	8.6 (00:00)	-0.7 (23:59)	4	59 (04:20)	33 (04:20)	4,8	3,4	0,6	0,8	0
Navarredonda de Gredos	Ávila	5.0 (00:00)	-5.1 (22:00)	0	61 (05:00)	14 (03:30)	14	12,3	1,2	0,5	0
Barco de Avila	Ávila	9.7 (00:00)	-0.5 (21:50)	4,6	63 (03:40)	32 (04:30)	12,4	10,2	2,2	0	0
Puerto El Pico	Ávila							10,6	1,6		
Cebreros	Ávila	10.1 (00:00)	1.0 (23:20)	5,6	58 (13:50)	23 (13:50)	7,2	6,8	0,2	0	0,2
Sotillo de la Adrada	Ávila	11.3 (00:30)	4.7 (22:50)	8	68 (06:40)	31 (23:59)	3,2	3	0,2	0	0
Candeleda	Ávila	12.7 (01:00)	6.0 (23:20)	9,3	94 (06:40)	62 (06:40)	0,6	0,6	0	0	0
Herrera del Duque	Badajoz				106 (06:20)	47 (06:00)	6,6	2,8	3,8	0	0
Peraleda del Zaucejo	Badajoz	11.2 (00:00)	3.8 (23:59)	7,5	85 (08:10)	48 (06:20)	9,4	4	5,4	0	0
Castuera	Badajoz	11.3 (00:00)	3.0 (23:59)	7,2	64 (08:00)	39 (07:10)	0,2	0	0,2	0	0
Navalvillar de Pela	Badajoz	12.3 (14:40)	4.6 (23:50)	8,5	64 (05:10)	41 (07:10)	5,4	3,6	1,8	0	0
Don Benito	Badajoz	13.7 (14:10)	4.7 (23:59)	9,2	62 (05:20)	32 (05:30)	5,2	2,2	3	0	0
Llerena	Badajoz	10.5 (00:00)	2.3 (23:59)	6,4	85 (08:30)	54 (08:30)	4,6	2	2,6	0	0
Villafranca de los Barros	Badajoz	12.7 (00:30)	3.6 (23:50)	8,1	77 (07:40)	50 (07:40)	1,2	0,4	0,8	0	0
Mérida	Badajoz	14.1 (13:40)	4.6 (23:59)	9,4	60 (06:10)	39 (06:10)	3,9	2,6	1,3	0	0
Zafra	Badajoz	12.2 (02:00)	4.4 (23:40)	8,3	68 (08:00)	48 (08:00)	3,2	1,8	1,2	0,2	0
Almendralejo	Badajoz	11.8 (01:20)	3.7 (23:59)	7,8	69 (08:00)	42 (07:40)	4,8	1,8	3	0	0
Badajoz Aeropuerto	Badajoz	14.0 (14:10)	4.8 (23:30)	9,4	86 (07:00)	51 (07:00)	3,3	3	0,3	0	0
Alburquerque	Badajoz	13.1 (01:20)	5.1 (23:59)	9,1	57 (11:20)	29 (11:20)	0,8	0,6	0,2	0	0
Puebla de Obando	Badajoz	11.8 (00:40)	3.7 (23:40)	7,8	67 (06:50)	39 (05:00)	1	1	0	0	0
Badajoz	Badajoz	14.4 (14:30)	5.0 (23:59)	9,7	60 (04:50)	33 (05:10)	1	0,4	0,4	0,2	0
Olivenza	Badajoz	12.4 (06:40)	4.4 (23:40)	8,4	89 (07:10)	47 (07:10)	1	0,4	0,2	0,4	0
Alconchel	Badajoz	13.0 (03:30)	5.6 (23:40)	9,3	73 (07:40)	43 (07:40)	3,6	0,2	1,8	1,6	0
Barcarrota	Badajoz	11.5 (00:50)	3.7 (23:40)	7,6	58 (05:50)	33 (05:40)	6	4	1,6	0,4	0
Villanueva del Fresno	Badajoz	12.8 (14:30)	4.6 (23:59)	8,7	59 (05:20)	39 (05:20)	3	0,8	1	1,2	0
Monesterio	Badajoz	9.9 (00:20)	1.4 (23:50)	5,6	70 (09:50)	35 (03:50)	6,6	0,8	3,4	2,4	0
Fuente de Cantos	Badajoz	10.5 (00:00)	1.5 (23:50)	6	82 (06:10)	59 (06:10)	4,6	0	2	2,6	0
Jerez de los Caballeros	Badajoz	12.6 (14:10)	3.3 (23:59)	8	90 (05:00)	60 (05:00)	5,6	2,8	2,8	0	0
Fregenal de la Sierra	Badajoz	10.6 (00:20)	2.8 (23:59)	6,7	69 (08:30)	37 (08:30)	11,4	6	4,8	0,6	0
Azuaga	Badajoz	11.3 (00:10)	2.3 (23:59)	6,8	95 (08:20)	56 (09:30)	0,6	0	0,6	0	0
Pontons	Barcelona	7.8 (14:40)	0.9 (23:50)	4,4	82 (09:10)	49 (08:50)	0,4	0,4	0	0	0
Vilafranca del Penedès	Barcelona	13.0 (15:00)	5.4 (23:10)	9,2	54 (22:00)	25 (16:20)	0	0	0	0	0
Sitges	Barcelona	14.0 (15:10)	5.4 (23:20)	9,7	43 (19:50)	24 (19:50)	0	0	0	0	0
Barcelona Aeropuerto	Barcelona	14.9 (15:40)	7.4 (23:40)	11,1	54 (21:50)	39 (21:50)	0	0	0	0	0
Berga	Barcelona	8.9 (14:30)	0.1 (23:59)	4,5	33 (14:50)	20 (15:00)	0	0	0	0	0
Balsareny	Barcelona	11.9 (15:10)	1.8 (23:59)	6,8	35 (15:20)	19 (15:20)	6,2	0	0	6,2	0
Moià	Barcelona	8.1 (15:20)	-0.9 (23:40)	3,6	35 (15:20)	19 (15:20)	0	0	0	0	0
Manresa	Barcelona	11.7 (15:10)	3.2 (23:59)	7,4	53 (16:40)	29 (16:40)	0,8	0	0	0,8	0
Monistrol de Montserrat	Barcelona	7.7 (14:30)	1.6 (23:50)	4,6			0,2	0,2	0	0	0
Igualada	Barcelona	9.9 (14:50)	3.2 (23:50)	6,5	53 (16:40)	21 (16:40)	0,3	0,3	0	0	0
Corbera, Pic d'Agulles	Barcelona	8.3 (15:10)	0.4 (23:20)	4,4			0	0	0	0	0
Barcelona	Barcelona	14.8 (15:30)	7.9 (23:40)	11,4	54 (20:20)	29 (20:10)	0	0	0	0	0
Barcelona, Museo Marítimo	Barcelona	14.3 (15:20)	7.0 (23:50)	10,7	32 (15:50)	17 (15:50)	0	0	0	0	0
Caldes de Montbui	Barcelona	13.6 (15:10)	4.3 (20:50)	9	55 (23:50)	36 (23:59)	2,4	0	0	2,4	0
Sabadell Aeropuerto	Barcelona						0	0	0	0	0
Vilassar de Dalt	Barcelona	14.6 (15:20)	6.0 (07:30)	10,3	40 (17:00)	23 (22:40)	0	0	0	0	0
Arenys de Mar	Barcelona	14.8 (14:40)	4.9 (23:59)	9,9	48 (16:40)	21 (16:50)					
Santa Susana	Barcelona	15.1 (16:20)	0.9 (23:59)	8	36 (16:30)	17 (14:00)	0	0	0	0	0
Fogars de Montclús	Barcelona	10.2 (14:40)	0.0 (23:40)	5,1			0	0	0	0	0
Tona	Barcelona										
Sant Julià  de Vilatorta	Barcelona	10.0 (14:50)	-1.1 (22:10)	4,4	33 (16:00)	17 (16:00)	0	0	0	0	0
Forua	Bizkaia	10.8 (00:40)	5.1 (23:59)	8	82 (22:00)	41 (22:10)	20,8	7,2	4,8	3,6	5,2
Machichaco	Bizkaia				93 (23:50)	63 (11:10)	10	2	1,4	2,7	3,9
Punta Galea	Bizkaia	10.4 (00:10)	5.5 (20:30)	7,9	84 (21:40)	40 (23:40)	15,8	10	2,1	2,6	1,1
Orozko	Bizkaia	7.6 (00:00)	1.8 (22:40)	4,7	40 (10:30)	14 (01:20)	41,6	15,4	12,6	6	7,6
Abadiño	Bizkaia	5.1 (00:00)	-0.2 (21:30)	2,4			27	13,6	4,6	4	4,8
Amorebieta--Etxano	Bizkaia	9.5 (00:10)	3.8 (23:40)	6,6	69 (14:00)	40 (14:00)	26,4	12,8	3	4,2	6,4
Balmaseda	Bizkaia	9.2 (00:00)	2.6 (22:20)	5,9			56,6	21	15,6	9,8	10,2
Güeñes	Bizkaia	8.5 (00:40)	2.7 (22:40)	5,6	71 (00:50)	35 (12:40)	40,2	15,7	11	4,5	9
