España											
Actualizado: martes, 06 enero 2015 a las 09:30 hora oficial											
Fecha: lunes, 05 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Monesterio	Badajoz	14.9 (14:30)	4.4 (08:40)	9,6	16 (15:00)	12 (03:40)	0	0	0	0	0
Fuente de Cantos	Badajoz							0	0		
Jerez de los Caballeros	Badajoz	16.0 (15:40)	-0.7 (07:50)	7,7	27 (15:20)	20 (15:10)	0	0	0	0	0
Fregenal de la Sierra	Badajoz	16.3 (14:00)	0.2 (08:40)	8,2	19 (15:10)	10 (15:10)	0	0	0	0	0
Azuaga	Badajoz	16.7 (15:50)	4.2 (06:30)	10,5	16 (11:50)	12 (11:50)	0	0	0	0	0
Pontons	Barcelona	15.6 (15:10)	1.3 (08:30)	8,5	23 (22:40)	13 (22:40)	0	0	0	0	0
Vilafranca del Penedès	Barcelona	15.9 (15:00)	1.0 (06:40)	8,4	17 (15:40)	10 (14:10)					
Sitges	Barcelona	15.8 (13:50)	6.2 (08:40)	11	19 (04:20)	8 (05:30)	0	0	0	0	0
Barcelona Aeropuerto	Barcelona	15.6 (13:10)	4.9 (08:10)	10,3	33 (07:10)	27 (07:10)	0	0	0	0	0
Berga	Barcelona	13.1 (15:00)	0.9 (04:20)	7	18 (08:10)	13 (05:00)	0	0	0	0	0
Balsareny	Barcelona	13.9 (16:00)	-3.8 (07:50)	5	10 (19:20)	8 (19:20)	0	0	0	0	0
Prat de Lluçanès	Barcelona							0	0		
Moià	Barcelona	15.0 (14:30)	2.8 (08:20)	8,9	18 (15:10)	10 (15:10)	0	0	0	0	0
Manresa	Barcelona	13.9 (15:50)	-1.9 (06:00)	6	15 (13:00)	6 (20:40)	0	0	0	0	0
Monistrol de Montserrat	Barcelona	12.5 (10:40)	4.8 (07:40)	8,7			0	0	0	0	0
Igualada	Barcelona	15.3 (16:00)	0.8 (08:40)	8,1	12 (15:20)	6 (17:10)	0	0	0	0	0
Corbera, Pic d'Agulles	Barcelona	16.8 (13:40)	5.7 (04:10)	11,2			0	0	0	0	0
Barcelona	Barcelona	16.1 (14:30)	6.3 (08:00)	11,2	22 (18:50)	16 (15:40)	0	0	0	0	0
Barcelona, Museo Marítimo	Barcelona	15.3 (15:10)	7.3 (08:20)	11,3	16 (15:40)	9 (02:40)	0	0	0	0	0
Caldes de Montbui	Barcelona	16.8 (14:20)	-0.6 (07:30)	8,1	15 (20:30)	12 (20:30)	0	0	0	0	0
Sabadell Aeropuerto	Barcelona	17.9 (14:50)	-0.2 (07:20)	8,8	16 (17:00)	12 (17:10)	0	0	0	0	0
Arenys de Mar	Barcelona	17.3 (13:00)	5.4 (07:10)	11,3	17 (01:20)	10 (01:20)					
Santa Susana	Barcelona	14.6 (14:30)	1.9 (06:00)	8,3	19 (14:50)	11 (14:50)	0	0	0	0	0
Fogars de Montclús	Barcelona	13.4 (13:40)	4.7 (08:30)	9			0	0	0	0	0
Sant Julià  de Vilatorta	Barcelona	11.1 (16:10)	-3.6 (08:20)	3,8	8 (15:30)	5 (16:20)	0,2	0	0,2	0	0
