España											
Actualizado: viernes, 16 enero 2015 a las 09:00 hora oficial											
Fecha: jueves, 15 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Navarredonda de Gredos	Ávila										
Barco de Avila	Ávila	7.8 (10:10)	1.9 (00:00)	4,9	57 (12:30)	37 (12:30)	6,4	0	0	0	6,4
Puerto El Pico	Ávila	3.9 (19:10)	2.4 (00:00)	3,2	71 (17:30)	37 (17:30)	54,8	0	0	12	42,8
Cebreros	Ávila	7.5 (14:40)	4.6 (09:20)	6	31 (20:20)	11 (13:40)	0,8	0	0	0,2	0,6
Sotillo de la Adrada	Ávila	9.3 (20:00)	5.1 (00:00)	7,2	25 (21:10)	10 (11:00)	6,9	0	0	2,3	4,6
Candeleda	Ávila	10.3 (14:30)	3.9 (02:50)	7,1	24 (16:40)	16 (14:30)	14,4	0	0,2	2,8	11,4
Herrera del Duque	Badajoz	12.6 (16:00)	1.8 (03:20)	7,2	59 (21:00)	25 (20:40)	7,4	0	0	0,2	7,2
Peraleda del Zaucejo	Badajoz	12.6 (15:10)	0.1 (08:30)	6,4	40 (20:30)	25 (15:20)	5	0,2	0	0	4,8
Castuera	Badajoz	13.0 (16:30)	5.3 (08:00)	9,2	49 (23:50)	35 (23:50)	1,8	0	0	0	1,8
Navalvillar de Pela	Badajoz	14.2 (15:50)	1.3 (04:50)	7,7	54 (23:50)	33 (23:40)	3,4	0	0	0	3,4
Don Benito	Badajoz	14.9 (13:20)	2.0 (04:20)	8,4	50 (22:50)	28 (22:30)	4,2	0	0	0	4,2
Llerena	Badajoz	11.9 (14:30)	4.3 (00:00)	8,1	46 (21:30)	29 (14:00)	8	0	0	0	8
Villafranca de los Barros	Badajoz	14.1 (13:30)	0.3 (01:30)	7,2	46 (19:10)	31 (13:50)	3	0	0	0	3
Mérida	Badajoz	14.7 (13:10)	2.2 (04:20)	8,4	51 (19:00)	29 (22:00)	6,8	0	0	0,4	6,4
Zafra	Badajoz	13.7 (13:30)	2.0 (06:40)	7,8	56 (14:40)	24 (21:00)	6,8	0	0	0	6,8
Almendralejo	Badajoz	14.3 (13:40)	3.3 (08:00)	8,8	50 (22:20)	39 (22:20)	8,2	0	0	0	8,2
Badajoz Aeropuerto	Badajoz	14.7 (16:00)	3.9 (04:10)	9,3	70 (13:50)	28 (22:30)	6,9	0	0	0	6,9
Alburquerque	Badajoz	12.8 (15:30)	5.4 (01:50)	9,1	45 (16:10)	22 (16:10)	7,6	0	0	0,4	7,2
Puebla de Obando	Badajoz	11.7 (13:30)	5.0 (01:30)	8,3	52 (21:20)	30 (13:40)	10,2	0	0	1	9,2
Badajoz	Badajoz	14.2 (15:40)	2.8 (03:30)	8,5	44 (17:20)	23 (20:50)	7,8	0	0	0,2	7,6
Olivenza	Badajoz	13.4 (12:50)	5.5 (03:40)	9,4	60 (22:30)	38 (22:30)	8,4	0	0	0	8,4
Alconchel	Badajoz	13.8 (17:30)	5.6 (03:40)	9,7	57 (22:00)	34 (22:00)	7,2	0	0	0	7,2
