España											
Actualizado: sábado, 01 febrero 2014 a las 09:00 hora oficial											
Fecha: viernes, 31 enero 2014											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Peraleda del Zaucejo	Badajoz	11.6 (16:50)	6.0 (01:10)	8,8	44 (00:10)	28 (02:30)	1,6	0,6	1	0	0
Castuera	Badajoz	12.0 (14:30)	5.9 (02:10)	9	32 (08:50)	18 (08:40)	0,6	0,4	0	0,2	0
Navalvillar de Pela	Badajoz	14.3 (15:40)	7.2 (03:30)	10,8	34 (05:00)	21 (05:00)	0,6	0,6	0	0	0
Don Benito	Badajoz	15.0 (14:00)	8.0 (03:50)	11,5	36 (06:20)	15 (06:20)	1	0,8	0	0	0,2
Villafranca de los Barros	Badajoz	12.5 (17:00)	7.4 (00:00)	10	42 (07:20)	31 (07:50)	1	0,2	0,8	0	0
Mérida	Badajoz	15.4 (13:40)	8.2 (03:30)	11,8	30 (16:10)	21 (16:50)	0,3	0,1	0,2	0	0
Zafra	Badajoz	12.5 (15:10)	7.5 (04:10)	10	42 (08:00)	30 (08:00)	0,8	0,6	0,2	0	0
Almendralejo	Badajoz	13.4 (14:40)	7.6 (01:00)	10,5	45 (08:40)	28 (08:40)	0,4	0	0,4	0	0
Badajoz Aeropuerto	Badajoz	15.1 (13:40)	9.7 (04:20)	12,4	37 (13:20)	27 (13:30)	0	0	0	0	0
Alburquerque	Badajoz	14.5 (14:40)	8.3 (00:30)	11,4	28 (12:10)	15 (13:00)	0	0	0	0	0
Puebla de Obando	Badajoz	13.4 (16:00)	6.8 (01:30)	10,1	29 (16:10)	21 (16:10)	0,4	0	0,4	0	0
Badajoz	Badajoz	15.2 (13:30)	9.3 (03:50)	12,3	37 (12:10)	24 (12:10)	0	0	0	0	0
Olivenza	Badajoz				34 (12:10)	19 (23:20)	0	0	0	0	0
Alconchel	Badajoz	15.2 (17:20)	9.1 (01:10)	12,2	35 (21:10)	23 (13:20)	0,2	0,2	0	0	0
Barcarrota	Badajoz	12.5 (16:50)	7.3 (03:30)	9,9	32 (10:40)	19 (07:10)	0,6	0,2	0,4	0	0
Villanueva del Fresno	Badajoz	14.4 (16:20)	8.0 (02:30)	11,2	34 (13:40)	23 (13:40)	1	1	0	0	0
Monesterio	Badajoz	9.1 (22:30)	4.5 (00:00)	6,8	51 (08:40)	28 (08:30)	1,6	0,6	0,6	0,4	0
Fuente de Cantos	Badajoz	10.1 (14:30)	5.4 (03:10)	7,8	44 (09:20)	32 (08:40)	1,6	0,8	0,6	0,2	0
Jerez de los Caballeros	Badajoz										
Fregenal de la Sierra	Badajoz	10.6 (15:40)	5.6 (01:30)	8,1	36 (06:30)	19 (06:30)	2,2	1,2	0,8	0,2	0
Azuaga	Badajoz	10.8 (16:10)	5.6 (01:20)	8,2			2	0,6	1	0,4	0
Pontons	Barcelona	9.6 (13:50)	0.3 (20:30)	5	44 (03:00)	27 (06:40)	0	0	0	0	0
Vilafranca del Penedès	Barcelona	12.1 (14:50)	1.1 (03:30)	6,6	23 (13:30)	14 (12:10)	0	0	0	0	0
Sitges	Barcelona	13.6 (14:10)	3.3 (07:50)	8,5	23 (10:30)	10 (10:30)	0	0	0	0	0
Barcelona Aeropuerto	Barcelona	13.0 (13:20)	3.9 (08:10)	8,5	28 (11:10)	20 (11:20)	0	0	0	0	0
Berga	Barcelona	8.9 (15:50)	-2.1 (09:00)	3,4	21 (15:40)	14 (16:00)	0	0	0	0	0
Balsareny	Barcelona	10.9 (16:00)	-2.9 (08:00)	4	20 (15:50)	14 (16:50)	0,2	0	0,2	0	0
Prat de Lluçanès	Barcelona	8.8 (15:30)	-1.8 (04:50)	3,5	18 (17:00)	11 (17:00)	0	0	0	0	0
Moià	Barcelona	9.2 (14:00)	-1.5 (07:40)	3,8	19 (15:20)	10 (16:10)	0	0	0	0	0
Manresa	Barcelona	11.4 (17:00)	-0.8 (07:50)	5,3	24 (17:00)	10 (03:50)	0	0	0	0	0
Monistrol de Montserrat	Barcelona	6.6 (14:20)	-0.8 (06:10)	2,9			0	0	0	0	0
Igualada	Barcelona	11.0 (15:00)	2.3 (08:50)	6,6	18 (15:30)	7 (15:30)	0	0	0	0	0
Corbera, Pic d'Agulles	Barcelona							0	0	0	
Barcelona	Barcelona								0	0	0
Barcelona, Museo Marítimo	Barcelona	12.4 (15:10)	6.3 (07:40)	9,3	21 (03:40)	11 (05:20)	0	0	0	0	0
Caldes de Montbui	Barcelona	12.5 (15:30)	0.7 (05:50)	6,6	20 (06:50)	15 (06:50)	0	0	0	0	0
Sabadell Aeropuerto	Barcelona	14.2 (12:50)	0.3 (02:30)	7,2	23 (15:10)	16 (15:10)	0	0	0	0	0
Vilassar de Dalt	Barcelona	13.9 (12:20)	5.6 (04:20)	9,7	37 (03:30)	18 (03:20)	0	0	0	0	0
Arenys de Mar	Barcelona	13.3 (14:00)	4.0 (07:20)	8,7	17 (02:40)	9 (03:40)	0	0	0	0	0
